symbol,logFC,AveExpr,P.Value,adj.P.Val,change
CFTR,-6.75647435,5.061596804,2.62E-10,1.43E-05,down
KRT7,-5.09814718,4.337998079,2.59E-06,0.005896771,down
RUNX3,-1.846250716,8.326916978,4.66E-06,0.008238693,down
CTHRC1,2.12362746,12.9585769,9.31E-06,0.010797448,up
LOX,2.586137999,9.387848958,1.55E-05,0.013000548,up
PLAUR,3.503558952,9.135957043,1.91E-05,0.013914577,up
WNT5A,2.396379534,9.168478912,7.86E-05,0.024547521,up
VCAN,2.142626313,11.72215045,8.15E-05,0.024904455,up
CLDN7,-4.067076951,4.345433485,0.000116607,0.029191898,down
LEP,-4.995775649,5.075462311,0.000162106,0.035144578,down
MAGED1,1.400078616,11.90579314,0.000197663,0.037920181,up
BMP2,-1.647711741,8.598081761,0.000208289,0.038603587,down
ROR2,2.674656894,8.414044367,0.000208933,0.038603587,up
KCNN4,-3.90732346,6.957641141,0.000227316,0.03932753,down
SFRP2,3.390630718,12.68406947,0.000280272,0.042214514,up
TNC,1.695740118,12.19643074,0.000449094,0.053669404,up
CDKN2A,4.523025609,6.518021194,0.000475647,0.055197407,up
KRT18,-4.61185161,7.455086446,0.000502764,0.056213917,down
DKK1,-3.644139665,3.852694153,0.000758939,0.068089587,down
MDK,4.252656986,7.458975715,0.000798898,0.069685047,up
PRSS8,-1.214146242,9.106095283,0.00080067,0.069685047,down
IGF1,2.657683695,10.2697117,0.00087708,0.073288439,up
DLX4,-2.750236046,6.654719888,0.000893138,0.073764799,down
GREM1,3.461449767,9.304613923,0.00101527,0.07883171,up
PLA2G4A,-1.263880394,9.001292812,0.001017599,0.07883171,down
EPCAM,-4.045333246,8.774844649,0.001112442,0.082365279,down
EFNB2,-1.036452548,11.18789413,0.001143485,0.082661892,down
MMP14,3.375017882,8.847444187,0.001347236,0.088505512,up
WNT11,-1.74299239,5.032547422,0.001368872,0.089311519,down
ETS1,1.711480917,7.827816757,0.00155191,0.09501753,up
RGS3,1.665161373,10.00985516,0.001861835,0.103150487,up
CDH2,3.228109154,9.233143716,0.001890522,0.104092925,up
FBP1,-2.441460615,5.864201214,0.001895224,0.104246836,down
FSTL1,1.014891318,13.38232612,0.001900266,0.104419153,up
CX3CL1,-1.450011744,4.057402285,0.002565932,0.121046004,down
CEACAM6,-5.752704235,6.790107817,0.002618329,0.122043596,down
AGR2,-4.793757838,6.051238905,0.002634976,0.122289086,down
CD24,-1.135154197,10.66806556,0.002802628,0.126744168,down
EPHB2,4.350286495,6.70883789,0.002944188,0.130320733,up
TPBG,1.556182291,11.44491581,0.003052005,0.131911744,up
SKIL,1.361782427,3.547700748,0.003069599,0.132049363,up
AQP9,-1.534801977,9.825946002,0.003203417,0.134212145,down
CCR2,1.290482251,8.441763516,0.003215894,0.134285228,up
NREP,4.711688019,7.39028655,0.003478944,0.139043311,up
SNAI2,1.388752355,11.08525416,0.0035469,0.140705611,up
CCND2,1.754096671,5.763047074,0.003572077,0.14121714,up
ACTG2,-5.533943038,9.603921709,0.00389333,0.147722305,down
FOXC1,-2.669281566,6.571917936,0.003908184,0.147907116,down
EGLN3,-1.499691381,10.21083377,0.003940589,0.148484993,down
STC2,3.398893106,7.696281178,0.004031397,0.149536371,up
AQP5,-6.090085736,6.757923632,0.004423657,0.15705419,down
FAS,1.28429627,10.24284753,0.004737786,0.16230481,up
MAP4K4,1.928370138,8.871464328,0.004862541,0.164720844,up
DDR2,2.373016393,5.175430378,0.005565817,0.174276882,up
TIMP1,1.305941157,12.93879036,0.006177671,0.181669169,up
FN1,3.435413504,8.470866659,0.006185074,0.18171355,up
PHLDA1,-1.817238966,7.100634027,0.006429,0.185111854,down
WWTR1,1.294196352,10.4034574,0.006524666,0.186675088,up
MRC2,1.95452167,5.536150219,0.006572485,0.187653206,up
MUC16,-2.146736281,5.050518107,0.006695417,0.189022578,down
